bigram,count
유해진과 박지훈의,62
모르고 봤습니다,62
연기 스토리,62
믿고 배우,62
단종과 엄흥도의,62
연기 잘하는,61
영화를 통해,61
배우분들이 연기,60
재미와 감동이,60
연기 덕분에,60
역사가 스포지만,60
울고 웃고,59
박지훈이 연기,59
유지태 배우,59
많이 울었어요,59
단종의 슬픈,58
단종의 삶이,58
남자 왕과,57
역시 믿고,57
단종 연기,57
슬픈 역사를,56
연기 돋보이는,56
믿고 유해진,56
박지훈 눈빛이,56
오랜만에 재밌는,56
유해진 배우는,56
연기 최고였습니다,55
연기 역시,55
연기 매우,55
여운 남네요,55
박지훈 눈빛,55
남는 영화입니다,55
한명회 이놈,54
재미 감동,54
연기도 잘하고,54
알고 있었지만,52
연기 좋습니다,52
아는 내용이지만,52
눈물 멈추지,52
말할 것도,51
만들어주셔서 감사합니다,51
지루하지 않고,50
연기 연출,50
봤습니다 배우,50
유해진 배우와,50
연기 너무너무,50
영화를 봤습니다,50
감동 모두,49
연기 영화를,49
눈물 많이,49
유해진씨 연기,49
유지태 연기,49
감동을 주는,48
배우분들 연기도,48
배우의 연기에,48
마음이 아팠어요,48
어린 단종이,47
연기 최고였어요,47
영화를 보면서,47
단종의 마지막,47
장항준 감독이,47
올해 최고의,47
눈만 봐도,47
호랑이 cg가,47
남는 영화였습니다,46
것도 없고,46
펑펑 울었어요,46
펑펑 울었네요,46
배우 연기력으로,46
유해진 배우님이,46
유지태 전미도,46
웃음과 감동이,46
좋은 영화였어요,46
단종에 대해서,46
많이 울었네요,46
모든 배우님들,46
보기 좋아요,46
알고 있지만,46
연기 잘하시고,46
n차 관람,45
재미와 감동을,45
연기 몰입감,45
배우 연기력과,44
이런 영화가,44
연기 미쳤습니다,44
배우 모두,44
배우 눈빛이,43
좋은 봤습니다,43
장항준 감독님의,43
단종의 삶을,43
감동과 재미,43
재미있게 관람했습니다,42
가족들과 보기,42
좋은 작품,42
모두 좋았습니다,42
부모님과 함께,42
연기에 박수를,42
연기 대박,42
유해진배우의 연기,41
모르고 봤네요,41
연기 몰입감을,41
마지막 장면이,41
주연 조연,41
결말을 알면서도,41
마음이 아팠습니다,40
사실을 바탕으로,40
기대 안하고,40
유해진배우님 연기,40
연기도 좋았습니다,40
단종의 이야기,39
많은 사람들이,39
연기 잘한다,39
좋은 감사합니다,39
호랑이 cg,39
연기에 눈물,39
여운 깊게,39
결말을 알아서,39
실화를 바탕으로,39
홍위 안아,39
유해진 배우님은,39
모든 배우들이,38
배우 박지훈,38
배우 연기력도,38
좋아요 좋아요,38
눈물 계속,38
박지훈의 눈빛,38
역사를 바탕으로,38
마지막엔 눈물,38
봤습니다 감사합니다,38
연기에 몰입해서,37
연기력 최고,37
단종 박지훈,37
아픈 역사,37
단종의 역사를,37
전미도 배우,37
박지훈과 유해진의,37
호랑이 cg는,37
연기 미쳤다,36
연기 훌륭합니다,36
알고 봤지만,36
즐겁게 봤습니다,36
많이 남네요,36
배우님들 연기도,36
감동적인 영화입니다,36
유해진배우 연기,35
있고 감동도,35
유해진과 박지훈,35
울면서 봤네요,35
오랜만에 재미있게,35
웃음과 눈물,35
오랜만에 몰입해서,35
오랜만에 영화관,35
연출 모두,35
연기자들의 연기,35
유해진 연기에,35
연기 일품입니다,35
눈물 주루룩,35
마음을 울리는,35
가족끼리 보기,35
돈이 아깝지,35
연기 미쳤음,35
시간가는 모르고,35
다시 보게,34
연기 박지훈,34
아이와 함께,34
마지막 장면,34
연기 인상,34
마음이 아프네요,34
휴지 챙겨가세요,34
유해진님 연기에,34
재미있게 봤네요,34
웃음과 감동,34
웃고 울며,34
말할것도 없고,34
배우의 연기력이,33
울다가 웃다가,33
스토리와 배우,33
눈물 광광,33
연기 최고에요,33
박지훈의 눈빛이,33
천만 가즈아,33
많이 웃고,33
유해진 전미도,33
배우분들 연기력이,32
영화보는 내내,32
감동적인 영화였어요,32
너무나 재미있게,32
아는 역사지만,32
엄청 울었어요,32
연기 말할것도,32
마지막 장면에서,32
눈물 납니다,32
슬픈 이야기,32
아이들과 함께,32
단종과 엄홍도의,32
단종과 엄흥도,32
배우의 눈빛이,32
오랜만에 감동적인,32
결말을 알기에,32
여운 남아,32
스토리 모두,32
감독의 연출이,32
단종의 마지막을,31
사실을 기반으로,31
단종 자체,31
눈물 흘리며,31
감동적인 영화였습니다,31
남자 봤습니다,31
몰입해서 봤네요,31
좋고 배우,31
그럼에도 불구하고,31
기대를 많이,31
아픈 역사를,31
오랜만에 영화를,31
역사에 관심이,31
얼굴만 봐도,31
펑펑 울고,31
역사적 사실과,31
간만에 영화다운,31
알고 있던,30
많이 울었습니다,30
다시 싶은,30
눈물 멈추질,30
연기 일품,30
마지막 장면은,30
다시 봐도,30
최고의 영화입니다,30
천만 가자,30
결말을 알지만,30
알고 있었는데,30
감동적인 영화를,30
재미 있게,30
오랜만에 여운,30
명품 연기,30
배우 연기력은,29
울다 웃다,29
남는 영화였어요,29
모든 배우분들,29
웃음 감동,29
연기 최고네요,29
펑펑 울면서,29
박지훈 배우는,29
있게 봤습니다,29
박지훈 배우와,29
배우와 박지훈,29
오랜만에 볼만한,29
눈빛만 봐도,29
연기 좋아,29
알고 보는데도,29
슬프고 여운,29
감동 재미,29
감동과 재미가,29
최고 최고,29
어린 왕의,29
유지태 배우의,28
배우 눈빛,28
박지훈배우 연기,28
결과를 알고,28
감명깊게 봤습니다,28
계속 눈물,28
박지훈 전미도,28
후반부로 갈수록,28
연기 때문에,28
오랫만에 좋은,28
슬픈 역사의,28
역사 이야기,28
연기 좋았지만,28
연기 좋음,28
눈물 나서,28
연기 감동,28
엄마랑 같이,27
주셔서 감사합니다,27
연기 미쳤고,27
연기 미쳤네요,27
역시 연기,27
중간 중간,27
알게 되어,27
아직도 여운,27
역사를 알게,27
단종 이홍위,27
배우 뛰어난,27
좋은 배우,27
좋았습니다 배우,27
배우 열연,27
영화가 끝나고,27
예나 지금이나,27
배우의 눈빛,27
배우 훌륭한,27
배우가 연기,27
연출 배우,27
연기 말할,27
생각을 하게,27
연기 유해진,27
마음 아픈,27
펑펑 울었습니다,27
저도 모르게,27
후반으로 갈수록,27
재미있게 잘봤어요,27
오랜만에 한국영화,27
유해진이 유해진했다,27
이미 아는,27
길게 남는,27
영화를 봐서,26
영화를 내내,26
영화가 끝나고도,26
연출과 배우,26
연기력이 좋아서,26
연기와 스토리,26
유해진 연기력,26
유해진 배우님과,26
봤습니다 유해진,26
감동 슬픔,26
여운 남아요,26
시간이 어떻게,26
단종의 마음이,26
특히 유해진님,26
어린 왕이,26
보기에 좋은,26
스토리도 좋고,26
세조 한명회,26
눈빛이 계속,26
다들 보세요,26
연출 연기,26
눈물 났다,26
눈물 났습니다,26
연기 잘하시네요,26
박지훈의 재발견,26
인상 깊었습니다,26
박지훈 배우도,26
있어 좋았습니다,26
배우님들의 연기에,26
웃기고 슬프고,26
기대 이상으로,26
박지훈 얼굴이,26
박지훈 단종,26
좋고 스토리도,26
천만 관객,26
오래 남는,26
영화중에 제일,26
연기도 스토리도,26
연기 다했다,25
결말을 아는데도,25
연기 최고예요,25
보면서 눈물,25
연기 잘하세요,25
스토리 배우,25
실제 역사를,25
역사에 관심을,25
역사에 대해서,25
특히 배우,25
좋은 영화는,25
지루하지 않게,25
결말을 아는,25
배우 캐스팅이,25
관람 했습니다,25
배우 명연기가,25
배우분들의 연기에,25
좋아서 몰입해서,25
